community_note,created_at,edits_remaining,favorite_count,full_text,has_card,has_community_notes,hashtags,id,in_reply_to,is_quote_status,is_translatable,lang,media,place,poll,possibly_sensitive,quote,quote_count,reply_count,retweet_count,retweeted_tweet,thumbnail_title,thumbnail_url,urls,user,view_count,view_count_state
None,Mon Sep 23 14:32:34 +0000 2024,5,3426,"""Millions of Africans travel to Europe for jobs and to have a better life. A united Africa would utilize its resources and create jobs that will keep Africans back home. It is either we live or die in Africa. Africa is our mother, how can we leave our mother?"" ~Muammar Gaddafi

Your comments on this",False,None,,1838224944670360050,None,False,False,en,https://pbs.twimg.com/media/GYKvu_eWkAA6eR4.jpg,None,None,False,None,37,135,1121,None,None,None,None,1536268354830360576,72285,EnabledWithCount
None,Fri Sep 27 08:08:40 +0000 2024,5,4438,The friendship holding South Africa together. https://t.co/ouSw5yHQqz,False,None,,1839577885268652387,None,False,False,en,https://pbs.twimg.com/media/GYd-USuXwAAZv1n.jpg,None,None,False,None,38,27,280,None,None,None,None,361251613,220828,EnabledWithCount
None,Fri Sep 27 03:38:33 +0000 2024,5,2309,"This is what Hussein Mohammed will not tell you.

Africa Head of States boycotted Ruto's address on climate change

Only the AU Chair was present. The rest refused to party with the devil.

Everybody knows how the devil looks like.

#RutoMustGo https://t.co/ov5VPSG68K",False,None,RutoMustGo,1839509910955938024,None,False,False,en,https://pbs.twimg.com/media/GYdAeprbYAAPZb1.jpg,None,None,False,None,14,54,961,None,None,None,None,1672292023737434112,43802,EnabledWithCount
None,Fri Aug 16 14:21:56 +0000 2024,5,12811,"Hello Morara,

Come for this Kaunda and continue with the good work! https://t.co/ajqrbx47Tr",False,None,,1824451529954234579,None,True,False,en,https://pbs.twimg.com/media/GVHA_i2WkAAzEtR.jpg,None,None,False,1824447979903664397,53,219,4278,None,None,None,None,981464440775282688,283467,EnabledWithCount
None,Sun Sep 15 16:31:20 +0000 2024,5,9895,Es el tercer grupo así que me encuentro en una calle de 300m. Estoy harto de que mi tierra cada vez se parezca más a África. https://t.co/cXfKkLb4I4,False,None,,1835355732591411443,None,False,True,es,https://pbs.twimg.com/media/GXh-TuyXcAAA48d.jpg,None,None,False,None,33,416,1698,None,None,None,None,1279062340286152706,190969,EnabledWithCount
None,Mon Sep 23 13:34:44 +0000 2024,5,29128,"Spain: The Spanish government shut down entire airport and chartered eight planes to fly in more than 3,000 immigrants from Africa into Spain. 

The immigrants, almost all fighting-age men, were taken to taxpayer paid hotels.

Meanwhile, young Spaniards are struggling with housing crisis and high unemployment rate.

There are even reports of retired Spaniards eating food from dumpsters and food thrown away by restaurants.

This is treason.",False,None,,1838210390573891651,None,False,False,en,https://pbs.twimg.com/amplify_video_thumb/1838210087472492544/img/rAXVI7RSHNvnK4UL.jpg,None,None,False,None,751,2208,10190,None,None,None,None,1483893386817986574,4838433,EnabledWithCount
None,Mon Sep 16 07:11:07 +0000 2024,5,22327,Everyone else has a plan for Africa except Africans who are only focused on going to heaven.,False,None,,1835577135559241993,None,False,False,en,None,None,None,None,None,473,343,7437,None,None,None,None,1692830259844960256,606849,EnabledWithCount
None,Thu Aug 22 15:07:36 +0000 2024,5,27598,"This young entrepreneur from Burkina Faso has succeeded in creating the first tire brand 100% made in Africa.

Its objective is to provide quality tires, designed to withstand African roads, to many countries in the region.

Your comments on this https://t.co/CPfzE00FmO",False,None,,1826637351134921158,None,False,False,en,"https://pbs.twimg.com/media/GVmEsdiXUAEs5wg.jpg,https://pbs.twimg.com/media/GVmEy-vWMAA88Xt.jpg,https://pbs.twimg.com/media/GVmEy-uXsAEHtoL.jpg",None,None,False,None,274,1037,6651,None,None,None,None,1536268354830360576,578959,EnabledWithCount
None,Tue Sep 10 14:04:09 +0000 2024,5,23112,"A statue of Nelson Mandela has been unveiled in Moscow, Russia. https://t.co/HRsNLcJTPI",False,None,,1833506752681402852,None,False,False,en,"https://pbs.twimg.com/media/GXHsp5gXMAEfpxL.jpg,https://pbs.twimg.com/media/GXHsp5hWQAAvDGa.jpg,https://pbs.twimg.com/media/GXHsqnJWUAEg3rk.jpg,https://pbs.twimg.com/media/GXHsqGfXYAA_Y6i.jpg",None,None,False,None,284,611,3319,None,None,None,None,129009730,1053478,EnabledWithCount
None,Fri Jun 28 16:36:56 +0000 2024,5,12818,"¿Os acordais del Everest con cientos de “alpinistas” haciendo cola?. La raza humana es lo peor. 

La masificación del turismo, esto está pasando en África, con cientos de safaris absurdos que destrozan la vida de los animales. Mirad el pobre leon…

https://t.co/rlfFkbTPhs",False,None,,1806728500893655487,None,False,True,es,https://pbs.twimg.com/ext_tw_video_thumb/1806439378438283264/pu/img/55ULx3WWbHMPgDog.jpg,None,None,False,None,386,613,4735,None,None,None,None,110949757,1846547,EnabledWithCount
None,Mon Sep 02 18:49:22 +0000 2024,5,6759,"That was Goodluck Jonathan welcomed by Xi Jinping &amp; the PLA Guard. Peter Obi was there.

Xi Jinping welcomed the president of Seychelles &amp; South Africa by himself.

But Bola Tinubu was welcomed by the same people he travelled with. Sanwo Eko &amp; others. https://t.co/nXRpiBWtDN",False,None,,1830679426507653161,None,False,False,en,"https://pbs.twimg.com/media/GWfhOSIaoAMrJm9.jpg,https://pbs.twimg.com/media/GWfhOSGaoAAL96r.jpg",None,None,False,None,77,370,2216,None,None,None,None,201237617,471810,EnabledWithCount
None,Sun Aug 18 09:48:25 +0000 2024,5,18868,"Burkina Faso President Ibrahim Traore:

Africa does not need the World Bank, the IMF, Europe or America.

We Africans have what it takes to grow our economy without any loans. We cannot continue to be financial slaves using loans. https://t.co/jilI5Dokpk",False,None,,1825107474170404885,None,False,False,en,https://pbs.twimg.com/media/GVQVkz_aoAAD487.jpg,None,None,False,None,234,849,3583,None,None,None,None,1683054351647121408,529034,EnabledWithCount
None,Thu Jun 27 12:04:01 +0000 2024,5,20983,"Blue-capped Cordon-bleus, a finch found in Africa 
 https://t.co/zEQnlwREAq",False,None,,1806297429194506321,None,False,False,en,https://pbs.twimg.com/ext_tw_video_thumb/1805894735309012992/pu/img/x8plByl44Oom6fSH.jpg,None,None,False,None,147,241,3353,None,None,None,None,1179892477714718721,464353,EnabledWithCount
None,Sat Aug 10 20:00:02 +0000 2024,5,6238,"Sometimes, I feel like Zimbabwe and Zambia wasted their resources to liberate South Africa. https://t.co/LCe5WWafwy",False,None,,1822362290575823047,None,False,False,en,"https://pbs.twimg.com/media/GUpU1sbXcAEMZX7.jpg,https://pbs.twimg.com/media/GUpU1saXwAAjel-.jpg",None,None,False,None,87,868,826,None,None,None,None,1593986524172918788,434394,EnabledWithCount
None,Sat Aug 17 06:24:35 +0000 2024,5,73981,African asylum seeker in Japan with expired residence permit is forcibly taken and sent back to Africa. In Japan they don't joke. https://t.co/sqAKVLukS0,False,None,,1824693790239519205,None,False,False,en,https://pbs.twimg.com/amplify_video_thumb/1824693607627948032/img/ElXNkGzYPYRoNBpY.jpg,None,None,False,None,958,3189,9955,None,None,None,None,1429400366819512323,4407131,EnabledWithCount
None,Fri Aug 23 15:08:21 +0000 2024,5,39363,"White woman shoots down a giraffe in Africa for fun.

Trophy hunting should be banned

Your comments on this https://t.co/MVB9rUPXPl",False,None,,1826999929732038866,None,False,False,en,https://pbs.twimg.com/ext_tw_video_thumb/1826999187122094080/pu/img/WBgAYolEpyxtKuA1.jpg,None,None,False,None,4292,28033,11704,None,None,None,None,1536268354830360576,13559744,EnabledWithCount
None,Sun Jul 28 09:07:51 +0000 2024,5,6107,"This is not a tribal war in Africa, this is Turkey. Perverted Afghans and Turks fought with rakes. Civilization seems to have completely disappeared in Turkey. https://t.co/4WwaD6oSBE",False,None,,1817487122133061852,None,False,False,en,https://pbs.twimg.com/amplify_video_thumb/1817486975676391424/img/8fkgPxD6MUkeZ8oi.jpg,None,None,False,None,146,617,1934,None,None,None,None,195853497,1057388,EnabledWithCount
